Change,Current Ratio,Debt / Equity Ratio,PE Ratio,PB Ratio,RSI,Bollinger Middle,Bollinger Upper,Bollinger Lower,OBV,EMA20,Inflation,GDP
0,0.93,4.35,17.7,14.84,69.02306851,106.7985008,161.676493,51.92050862,4070334000,112.7815743,8.002799821,2.06180457
0,0.96,3.67,24.15,16.57,69.02306851,106.7985008,161.676493,51.92050862,4070334000,112.7815743,8.002799821,2.06180457
0,0.96,4.68,37.18,21.24,69.02306851,106.7985008,161.676493,51.92050862,4070334000,112.7815743,8.002799821,2.06180457
1,1.45,0.01,17.6,11.65,72.08794497,54.8755002,85.47462374,24.27637666,1192691000,58.91845911,1.464832656,1.841876169
1,1.44,0.01,18.67,12.64,69.33694097,57.48700027,87.1936216,27.78037895,1005444100,60.89955836,1.622222977,2.287772842
1,1.46,0.01,23.18,12.77,69.89128779,59.85600014,89.07325252,30.63874776,1180234100,62.79864769,1.622222977,2.287772842
0,1.46,0,22.68,11.78,70.14043862,62.0585001,90.77015264,33.34684756,1341936100,64.56258598,1.622222977,2.287772842
1,1.46,0,22.39,11.49,73.99762205,64.44899998,93.86837234,35.02962761,1523489300,66.91948232,1.622222977,2.287772842
1,1.42,0,23.34,12.86,75.84006971,67.03600006,97.17725824,36.89474188,1688281500,69.46905566,0.118627136,2.706370303
1,1.47,0,24.26,12.31,77.07423676,69.94249992,99.78362236,40.10137749,1826179000,72.07009786,0.118627136,2.706370303
1,1.4,0,26.18,13.36,77.66280435,72.73099995,102.2104489,43.25155095,1991713500,74.56437446,0.118627136,2.706370303
1,1.26,0,25.43,12.66,79.99477173,75.53149986,105.8958768,45.16712292,2149075100,77.41538642,0.118627136,2.706370303
1,1.25,0,29.25,15.07,83.27868105,78.55299988,112.0017962,45.10420352,2355772500,81.03296881,1.261583206,1.667476026
1,1.41,0,22.71,12.26,80.52312671,81.19650002,116.7835806,45.60941944,2217503800,84.10506711,1.261583206,1.667476026
1,1.42,0,26.3,13.95,83.0630738,84.67099991,121.9708533,47.3711465,2362290000,87.73029863,1.261583206,1.667476026
1,1.35,0,23.41,12.74,76.9309751,87.86599979,124.791018,50.9409816,2207914500,90.53026993,1.261583206,1.667476026
1,1.24,0,18.82,10.91,77.89009897,90.63499966,128.4314644,52.83853494,2364627600,93.32548206,2.130110004,2.241916613
1,1.29,0,21.88,10.47,79.17833894,93.81449966,131.4964699,56.13252946,2503885800,96.21638856,2.130110004,2.241916613
1,1.22,0,23.74,10.41,82.47447887,97.06650009,137.1276001,57.00540004,2623006300,99.9167332,2.130110004,2.241916613
1,1.23,0,26,10.01,86.19728217,101.3959999,145.789442,57.00255779,2739330200,104.9808535,2.130110004,2.241916613
1,1.25,0,27.41,10.73,86.26875271,105.2724998,153.4838863,57.06111344,2891714400,109.6017246,2.442583297,2.945385182
1,1.31,0,29.72,11.02,87.92571225,109.8539997,161.8022312,57.90576823,3028854400,114.7434648,2.442583297,2.945385182
1,1.29,0,26.45,10.7,88.87298645,114.6819996,170.1023707,59.26162847,3149859000,120.0250393,2.442583297,2.945385182
0,1.34,0,28.1,11.01,64.72408334,117.6214993,172.0708454,63.17215309,2990011600,122.0236064,2.442583297,2.945385182
1,1.33,0,25.95,8.62,73.8884596,122.4364994,179.5921357,65.28086312,3112970900,127.1661205,1.812210075,2.294439305
1,1.35,0,24.04,8.06,75.59495353,127.6329998,187.5478698,67.71812981,3227656300,132.6522047,1.812210075,2.294439305
1,1.34,0,25.55,8.7,76.99742687,133.1845001,195.4355596,70.93344063,3346533400,138.3377096,1.812210075,2.294439305
1,1.4,0,27.89,9.25,79.97612729,139.2475006,206.6334298,71.86157138,3459209000,145.216976,1.812210075,2.294439305
0,1.39,0.22,27.13,8.7,58.71490902,142.7260002,207.4769575,77.97504297,3265125000,146.9353587,1.233584396,-2.767953145
1,1.38,0.22,23.88,7.67,68.5184908,148.6230003,216.9458241,80.30017655,3422296900,153.391039,1.233584396,-2.767953145
1,1.37,0.22,26.98,8.34,70.18811923,155.0095005,227.0837892,82.9352118,3539113200,160.3052263,1.233584396,-2.767953145
1,1.4,0.21,31.2,9.38,74.70332467,162.8450001,244.6654731,81.02452706,3657785400,169.9152039,1.233584396,-2.767953145
1,1.45,0.19,31.28,9.17,76.35054915,170.8875,263.3958553,78.37914465,3788347100,180.0423273,4.697858864,5.946623245
1,1.39,0.19,30.42,9.07,78.23224534,179.9625004,283.0898257,76.83517507,3908425300,190.9706779,4.697858864,5.946623245
1,1.42,0.18,32.5,9.71,80.49735525,189.8500011,306.0129082,73.68709411,4025497700,203.251567,4.697858864,5.946623245
1,1.25,0.18,38,11.49,86.28491028,204.7210007,351.8590701,57.58293126,4159593500,223.3752261,4.697858864,5.946623245
1,1.22,0.17,37.9,11.54,68.41897153,215.5885014,368.0658098,63.11119297,3984627900,234.218539,8.002799821,2.06180457
0,1.24,0.17,32.58,10.13,58.38671513,223.287001,371.9246586,74.64934348,3837126700,238.354868,8.002799821,2.06180457
0,1.27,0.16,29.85,9.25,55.39878182,229.3985001,372.9905633,85.80643684,3709514600,240.1591651,8.002799821,2.06180457
0,1.23,0.15,27.88,8.67,56.52207865,235.0860001,375.1040902,95.06790989,3846104800,242.7001967,8.002799821,2.06180457
0,1.26,0.14,28.39,8.71,56.52207865,235.0860001,375.1040902,95.06790989,3846104800,242.7001967,8.002799821,2.06180457
